# 출처: 국토교통부 실거래가 공개시스템(rt.molit.go.kr) 아파트 전월세 실거래 2026.03~05 전국, 원본 238,658건 집계
# 시도·시군구·전월세·전용면적대별 보증금/월세 중위값. 면적대 평은 전용면적 ㎡ 환산.
시도,시군구,전월세,전용면적대,거래건수,보증금중위(만원),월세중위(만원),건축년도중위
경기도,부천시 소사구,월세,40㎡미만(~12평),26,1000,45,2012
경기도,부천시 소사구,월세,60~85㎡(18~26평),113,5000,110,2004
경기도,부천시 소사구,월세,85~135㎡(26~40평),15,5000,140,2003
경기도,부천시 소사구,전세,135㎡이상(40평~),3,44000,0,2003
경기도,부천시 소사구,전세,40~60㎡(12~18평),161,31000,0,2008
경기도,부천시 소사구,전세,40㎡미만(~12평),19,12500,0,2002
경기도,부천시 소사구,전세,60~85㎡(18~26평),203,38850,0,2009
경기도,부천시 소사구,전세,85~135㎡(26~40평),48,44500,0,2004
경기도,부천시 오정구,월세,40~60㎡(12~18평),126,2000,55,1989
경기도,부천시 오정구,월세,40㎡미만(~12평),203,1192,26,2026
경기도,부천시 오정구,월세,60~85㎡(18~26평),37,5000,100,2011
경기도,부천시 오정구,월세,85~135㎡(26~40평),1,5000,120,2003
경기도,부천시 오정구,전세,135㎡이상(40평~),2,56050,0,2010
경기도,부천시 오정구,전세,40~60㎡(12~18평),110,13700,0,1989
경기도,부천시 오정구,전세,40㎡미만(~12평),5,12000,0,1987
경기도,부천시 오정구,전세,60~85㎡(18~26평),66,28000,0,2006
경기도,부천시 오정구,전세,85~135㎡(26~40평),4,27500,0,2007
경기도,부천시 원미구,월세,135㎡이상(40평~),3,10000,100,1994
경기도,부천시 원미구,월세,40~60㎡(12~18평),381,5000,60,2002
경기도,부천시 원미구,월세,40㎡미만(~12평),239,1276,45,2014
경기도,부천시 원미구,월세,60~85㎡(18~26평),137,10000,110,2002
경기도,부천시 원미구,월세,85~135㎡(26~40평),49,10000,170,1994
경기도,부천시 원미구,전세,135㎡이상(40평~),7,62000,0,1994
경기도,부천시 원미구,전세,40~60㎡(12~18평),558,25000,0,1995
경기도,부천시 원미구,전세,40㎡미만(~12평),75,18000,0,1994
경기도,부천시 원미구,전세,60~85㎡(18~26평),295,45000,0,2002
경기도,부천시 원미구,전세,85~135㎡(26~40평),97,50000,0,1995
경기도,성남시 분당구,월세,135㎡이상(40평~),70,50000,235,2003
경기도,성남시 분당구,월세,40~60㎡(12~18평),362,10750,89,1994
경기도,성남시 분당구,월세,40㎡미만(~12평),194,4501,75,1995
경기도,성남시 분당구,월세,60~85㎡(18~26평),420,30000,140,1995
경기도,성남시 분당구,월세,85~135㎡(26~40평),237,50000,165,1994
경기도,성남시 분당구,전세,135㎡이상(40평~),101,115000,0,2003
경기도,성남시 분당구,전세,40~60㎡(12~18평),576,44000,0,1994
경기도,성남시 분당구,전세,40㎡미만(~12평),195,30000,0,1994
경기도,성남시 분당구,전세,60~85㎡(18~26평),618,70000,0,1995
경기도,성남시 분당구,전세,85~135㎡(26~40평),433,90000,0,1995
경기도,성남시 수정구,월세,135㎡이상(40평~),1,60000,10,2006
경기도,성남시 수정구,월세,40~60㎡(12~18평),144,8878,38,2017
경기도,성남시 수정구,월세,40㎡미만(~12평),150,3812,20,2017
경기도,성남시 수정구,월세,60~85㎡(18~26평),131,30000,145,2019
경기도,성남시 수정구,월세,85~135㎡(26~40평),102,48699,56,2016
경기도,성남시 수정구,전세,135㎡이상(40평~),2,102500,0,2015
경기도,성남시 수정구,전세,40~60㎡(12~18평),101,58000,0,2018
경기도,성남시 수정구,전세,40㎡미만(~12평),7,18000,0,1991
경기도,성남시 수정구,전세,60~85㎡(18~26평),225,65000,0,2019
경기도,성남시 수정구,전세,85~135㎡(26~40평),243,71500,0,2019
경기도,성남시 중원구,월세,40~60㎡(12~18평),178,5202,50,2008
경기도,성남시 중원구,월세,40㎡미만(~12평),59,2152,18,2008
경기도,성남시 중원구,월세,60~85㎡(18~26평),62,20000,135,2010
경기도,성남시 중원구,월세,85~135㎡(26~40평),4,36000,134,2013
경기도,성남시 중원구,전세,40~60㎡(12~18평),185,42000,0,2007
경기도,성남시 중원구,전세,40㎡미만(~12평),14,19000,0,1991
경기도,성남시 중원구,전세,60~85㎡(18~26평),158,50000,0,2010
